Num_Acc;catr;circ;nbv;vosp;prof;plan;larrout;surf;infra;situ;vma
202200000442;3;2;2;0;2;2; -1;1;0;3;80
202200000443;3;2;2;0;1;1; -1;1;0;1;50
202200000444;3;2;2;0;1;3; -1;1;0;3;80
202200000445;3;2;2;0;1;2; -1;1;0;1;50
202200000446;4;2;2;0;2;2;4;1;0;1;-1
202200000447;3;2;2;0;1;1; -1;1;0;1;90
202200000448;3;2;3;0;1;1; -1;1;0;1;80
202200000449;3;2;2;0;1;2; -1;1;0;3;80
202200000450;3;2;2;0;1;1; -1;1;0;1;80
202200000451;3;2;2;0;4;2; -1;1;0;3;80
202200000452;4;1;1;0;1;1; -1;1;0;1;30
202200000453;3;2;2;0;1;2;"4;5";1;0;3;80
202200000454;3;2;2;0;1;1; -1;1;0;1;80
202200000455;3;2;2;0;1;4;"5;25";1;0;3;80
202200000456;3;2;2;0;1;1; -1;1;0;1;50
202200000457;3;2;2;0;1;1; -1;1;0;1;50
202200000458;3;2;2;0;1;3; -1;1;0;3;90
202200000459;2;2;5;0;2;1; -1;2;0;1;50
202200000460;3;2;2;0;2;1; -1;1;0;3;90
202200000461;3;2;2;0;2;1;"4;5";1;0;1;80
202200000462;3;2;2;0;2;3; -1;1;0;8;80
202200000463;3;2;2;0;1;1; -1;1;0;1;50
202200000464;3;2;2;0;1;1; -1;1;0;1;80
202200000465;4;2;2;0;1;4; -1;1;0;1;50
202200000466;3;2;2;0;1;1; -1;1;0;1;70
202200000467;3;2;1;0;1;1;5;2;0;1;50
202200000468;3;2;2;0;2;2; -1;1;0;1;90
202200000469;3;3;2;3;1;1; -1;2;0;1;50
202200000470;4;2;2;0;1;2; -1;1;0;1;70
202200000471;4;2;2;0;1;1; -1;2;0;1;50
202200000472;3;2;2;0;1;1; -1;1;0;3;80
202200000473;4;2;2;0;1;1; -1;1;0;1;50
202200000474;3;2;4;2;1;1; -1;1;0;5;50
202200000475;3;2;2;0;1;1; -1;1;0;1;80
202200000476;3;2;2;0;1;3; -1;1;0;1;-1
202200000477;3;2;2;0;2;1; -1;1;0;1;80
202200000478;3;2;2;0;1;2; -1;1;2;1;50
202200000479;3;2;4;2;1;1; -1;1;0;1;50
202200000480;3;2;1;0;1;1;"3;5";1;0;1;50
202200000481;3;2;2;0;1;1; -1;1;0;1;80
202200000482;3;2;2;0;1;1; -1;1;0;1;50
202200000483;3;2;2;0;1;3; -1;1;0;8;90
202200000484;3;1;2;-1;1;1; -1;2;5;1;-1
202200000485;3;2;2;0;1;1; -1;1;0;1;80
202200000486;3;2;2;0;1;2; -1;1;0;8;80
202200000487;3;3;9;1;1;1; -1;1;0;1;50
202200000488;3;2;2;0;1;1; -1;1;5;1;80
202200000489;3;1;2;0;1;1; -1;1;0;1;30
202200000490;3;2;2;0;1;2; -1;1;2;1;80
202200000491;3;2;2;0;1;1; -1;1;0;1;50
202200000492;3;2;2;0;1;1; -1;2;9;1;30
